Date,Q cms,SP,w_est,unit_SP
2017-02-18,226.5344,15556.117248,82.4350841683158,188.707483044932
2017-02-17,36.528672,2508.42390624,45.8064881126116,54.7613233320407
2017-02-19,15.57424,1069.4830608,34.8107913291125,30.7227448720932
2017-02-20,12.7708768,876.976109856,32.6559224759985,26.8550401692238
2017-02-21,12.1195904,832.252272768,32.110125539487,25.9186863578141
2017-01-23,11.4399872,785.583921024,31.5189622053166,24.924168375426
2017-01-22,10.8736512,746.693627904,31.0078578289812,24.0807872643853
2017-02-22,9.7126624,666.968527008,29.9007317330173,22.3060938094539
2018-03-23,8.6083072,591.132455424,28.7608954791425,20.5533397196444
2017-02-23,7.220784,495.85123728,27.1783475498286,18.2443482397489
2018-03-22,6.9659328,478.350605376,26.865703312752,17.805251543478
2017-01-24,6.37128,437.5157976,26.1047705754726,16.7599939763914
2018-03-24,6.0314784,414.181621728,25.648108498378,16.1486224902001
2017-02-24,5.946528,408.34807776,25.5312291056591,15.9940626465761
2017-02-25,5.380192,369.45778464,24.7215541317733,14.9447636936852
2017-02-26,4.7855392,328.622976864,23.8065590963187,13.8038838596719
2018-03-25,4.4174208,303.344286336,23.2008144374889,13.074725766775
2017-02-27,4.389104,301.39977168,23.1528211360063,13.0178421847381
2017-02-28,3.964352,272.23205184,22.4063098486575,12.1497941284745
2017-02-13,3.5396,243.064332,21.6034013499313,11.2512066069065
2017-03-01,3.4829664,239.175302688,21.4914914698187,11.1288368712745
2017-01-20,3.2281152,221.674670784,20.9720300834886,10.5700149151763
2018-03-26,3.1431648,215.841126816,20.7927106051342,10.3806151547506
2017-02-09,3.0582144,210.007582848,20.610074381986,10.1895596762889
2017-02-08,2.9449472,202.229524224,20.3611285174028,9.93213731012761
2017-03-02,2.9449472,202.229524224,20.3611285174028,9.93213731012761
2017-01-25,2.79203648,191.7291450816,20.0145337075574,9.57949597442802
2017-02-12,2.75805632,189.3957274944,19.9357736481342,9.50029483867688
2017-02-10,2.7467296,188.617921632,19.9093741546737,9.47382475042402
2017-02-14,2.6617792,182.784377664,19.7089858975554,9.27416451633221
2017-03-03,2.65045248,182.0065718016,19.6819413436105,9.24738919927156
2018-03-27,2.59665056,178.3119939552,19.5523983158221,9.11969933687916
2017-03-04,2.54284864,174.6174161088,19.4210224505303,8.99115463944236
2017-02-11,2.5201952,173.061804384,19.3651422727174,8.93676906406303
2017-03-05,2.34463104,161.0058135168,18.9200760761516,8.50978679307453
2017-01-26,2.29932416,157.8945900672,18.8015715301943,8.39794640642829
2017-02-06,2.28516576,156.9223327392,18.7642144654622,8.36285116161053
2017-03-06,2.22570048,152.8388519616,18.6055781445752,8.21467899432963
2017-02-07,2.14358176,147.1997594592,18.381713087027,8.00794565567922
2017-03-07,2.09827488,144.0885360096,18.2557034714318,7.89279559865131
2018-03-28,2.05863136,141.3662154912,18.1439228348623,7.79138099174313
2016-01-31,2.03314624,139.6161523008,18.071291065785,7.72585377505985
2017-03-10,2.03314624,139.6161523008,18.071291065785,7.72585377505985
2017-03-08,2.00766112,137.8660891104,17.9980393755892,7.66006153411289
2017-03-11,1.93120576,132.6158995392,17.7744298400808,7.4610494250654
2017-03-09,1.911384,131.25473928,17.7154800295993,7.40904220832277
2017-02-15,1.90288896,130.6713848832,17.6900889157995,7.38670028766753
2018-01-09,1.8264336,125.421195312,17.4580341223389,7.18415340656908
2017-03-12,1.81510688,124.6433894496,17.4230986411081,7.15391630484808
2016-01-07,1.74997824,120.1710057408,17.2192962871127,6.97885696006862
2017-01-27,1.74997824,120.1710057408,17.2192962871127,6.97885696006862
2017-02-16,1.71033472,117.4486852224,17.0927131408903,6.87127223479995
2018-03-29,1.69334464,116.2819764288,17.0378539507757,6.82491919256686
2017-03-13,1.6706912,114.726364704,16.9641247556014,6.76288145464848
2017-03-14,1.61688928,111.0317868576,16.786259659446,6.61444473695605
2016-01-06,1.6140576,110.837335392,16.7767878769859,6.60658859161262
2018-01-10,1.5998992,109.865078064,16.7292591998266,6.56724106857874
2017-01-21,1.59706752,109.6706265984,16.7197192763599,6.55935813189543
2017-03-15,1.5715824,107.920563408,16.6333394440689,6.48820784129924
2016-11-21,1.54892896,106.3649516832,16.5557564520254,6.42465066404062
2017-03-16,1.53760224,105.5871458208,16.5166762092178,6.39275992840937
2017-03-17,1.49512704,102.6703738368,16.3683624404073,6.27248902940624
2016-11-20,1.46964192,100.9203106464,16.2779983122385,6.19979856924569
2017-03-18,1.45265184,99.7536018528,16.2171637317061,6.15111270399103
2018-03-30,1.44982016,99.5591503872,16.2069778033711,6.1429806096539
2017-03-21,1.4441568,99.170247456,16.1865654103192,6.12670105992823
2016-11-19,1.43849344,98.7813445248,16.1660986719144,6.11040094023515
2016-12-24,1.43283008,98.3924415936,16.1455772286537,6.09408014344522
2016-11-18,1.42716672,98.0035386624,16.1250007172236,6.07773856144511
2017-03-19,1.41300832,97.0312813344,16.0733160961217,6.03679295262616
2018-01-11,1.4016816,96.253475472,16.0317150094687,6.0039412760987
2016-11-17,1.39601824,95.8645725408,16.0108289532178,5.98748339769961
2016-11-22,1.3875232,95.281218144,15.979391883713,5.96275620733198
2017-03-20,1.38185984,94.8923152128,15.9583612715138,5.9462443291208
2017-01-28,1.37902816,94.6978637472,15.9478240459741,5.9379802206374
2016-11-16,1.36770144,93.9200578848,15.905527833947,5.90486897796297
2016-11-15,1.35637472,93.1422520224,15.8629934609846,5.87166931963287
2016-11-13,1.34787968,92.5588976256,15.8309343776761,5.84671096584933
2016-11-14,1.34787968,92.5588976256,15.8309343776761,5.84671096584933
2017-11-17,1.34787968,92.5588976256,15.8309343776761,5.84671096584933
2016-11-12,1.34221632,92.1699946944,15.8094854751838,5.83004392135847
2017-11-16,1.34221632,92.1699946944,15.8094854751838,5.83004392135847
2017-11-18,1.32805792,91.1977373664,15.7555934243897,5.78827689379351
2016-11-11,1.32522624,91.0032859008,15.7447683230724,5.7799063176715
2017-11-15,1.32522624,91.0032859008,15.7447683230724,5.7799063176715
2017-11-19,1.3167312,90.419931504,15.7121986296705,5.75475995658897
2016-11-10,1.31389952,90.2254800384,15.7013104128638,5.74636623733518
2017-11-20,1.30540448,89.6421256416,15.6685500016268,5.72115005104446
2017-11-14,1.29407776,88.8643197792,15.6246438335486,5.6874461092287
2016-11-09,1.28558272,88.2809653824,15.5915429179565,5.66210578689607
2017-11-21,1.28558272,88.2809653824,15.5915429179565,5.66210578689607
2017-11-22,1.27142432,87.3087080544,15.5360436118795,5.6197517357405
2017-11-23,1.25443424,86.1419992608,15.4688885237005,5.56872584147327
2017-01-29,1.25160256,85.9475477952,15.457636156756,5.56019995060082
2017-03-22,1.23744416,84.9752904672,15.4011138952253,5.51747692051965
2017-11-24,1.2317808,84.586387536,15.3783822132895,5.50034368783624
2017-11-25,1.22894912,84.3919360704,15.3669897924579,5.49176756216886
2017-11-26,1.22328576,84.0030331392,15.3441514477975,5.47459619549428
2016-11-08,1.21195904,83.2252272768,15.2982587972236,5.4401764527545
2017-11-27,1.20912736,83.0307758112,15.2867402314782,5.43155535803667
2016-11-23,1.19496896,82.0585184832,15.2288713930373,5.38835192479974
2018-03-31,1.19213728,81.8640670176,15.2172419118915,5.37969150333525
2017-11-28,1.18647392,81.4751640864,15.1939266431764,5.36235076026186
2017-01-30,1.16382048,79.9195523616,15.0999036636474,5.29271935383298
2017-03-23,1.15532544,79.3361979648,15.0643251997963,5.26649530679759
2017-11-29,1.15249376,79.1417464992,15.0524263061191,5.25774017355776
2016-02-01,1.132672,77.78058624,14.9685739445767,5.19625894410477
2017-03-24,1.09586016,75.2527171872,14.8101698971139,5.08115151345188
2017-01-19,1.0901968,74.863814256,14.7854812474297,5.0633329414972
2017-11-13,1.06471168,73.1137510656,14.6732932103787,4.98277721417611
2017-03-25,1.06188,72.9192996,14.6607159055332,4.97378846093588
2017-03-26,1.05904832,72.7248481344,14.6481158403152,4.96479198602754
2018-04-01,1.05055328,72.1414937376,14.6101780566442,4.93775595738154
2017-03-27,1.02789984,70.5858820128,14.5079831715199,4.86531319883004
2017-11-30,1.01657312,69.8080761504,14.4563123201239,4.82889927974397
2017-01-31,0.99958304,68.6413673568,14.3780690521309,4.7740323897406
2018-04-02,0.99675136,68.4469158912,14.3649410311234,4.76485881444982
2016-11-24,0.93162272,63.9745321824,14.0557553392256,4.55148305006885
2018-04-03,0.91463264,62.8078233888,13.9726995952042,4.49503855435047
2017-02-01,0.9061376,62.224468992,13.930779011003,4.46668983427655
2017-12-01,0.89764256,61.6411145952,13.8885911151955,4.43825540574512
2018-03-21,0.88914752,61.0577601984,13.8461316490649,4.40973419478672
2015-12-04,0.87215744,59.8910514048,13.7603804204675,4.35242700962808
2018-01-12,0.87215744,59.8910514048,13.7603804204675,4.35242700962808
2015-11-10,0.86932576,59.6965999392,13.7459787056137,4.3428410022795
2017-03-28,0.86649408,59.5021484736,13.731545149796,4.33324493525655
2017-12-02,0.86649408,59.5021484736,13.731545149796,4.33324493525655
2015-11-11,0.8636624,59.307697008,13.7170795782151,4.32363876507578
2015-11-12,0.8636624,59.307697008,13.7170795782151,4.32363876507578
2016-11-07,0.8636624,59.307697008,13.7170795782151,4.32363876507578
2016-02-02,0.85516736,58.7243426112,13.6734889977416,4.29475919576192
