Date,Total Q cms,SP,w_est,unit_SP
2017-02-17,142.3,6910.01685,159.914322433664,43.2107440086639
2017-01-22,41.342528,2007.572488416,92.8307585211088,21.6261562481954
2017-02-18,34.829664,1691.311069008,86.0864683677727,19.6466541266683
2017-01-23,31.714816,1540.055607552,82.6099905576404,18.6424861830415
2017-01-20,27.7221472,1346.1736069584,77.8611881929866,17.2894048780989
2017-02-19,21.4075008,1039.5375350976,69.4906273710256,14.9593919989711
2017-02-20,19.0855232,926.7834638304,66.067366683731,14.0278553596207
2017-02-21,16.5086944,801.6539457168,61.9827451315217,12.9335017998277
2016-01-06,16.0839424,781.0282009728,61.2759298435301,12.7460848487682
2016-12-24,16.0556256,779.6531513232,61.2284391531286,12.733513414793
2017-02-22,13.6770144,664.1489807568,57.0575842339342,11.6399772207988
2016-01-05,9.8542464,478.5172780608,49.3936943390227,9.6878211776671
2017-01-21,8.8348416,429.0154906752,47.076553880997,9.11314561723638
2018-03-22,8.1552384,396.0142990848,45.4474308124366,8.71367846334741
2016-01-07,7.8720704,382.2638025888,44.7462199163797,8.54292951009409
2018-01-09,7.6738528,372.6384550416,44.2469287016955,8.42179256223317
2015-09-15,7.0508832,342.3873627504,42.628922482992,8.0318089880645
2017-02-23,6.9942496,339.6372634512,42.4779258019156,7.99561788951296
2017-02-06,6.6827648,324.5117173056,41.6349381516793,7.79421638921087
2017-02-11,6.0314784,292.8855753648,39.798221799943,7.35926285443285
2016-01-31,6.0031616,291.5105257152,39.7159011736516,7.33989452840603
2017-02-24,6.0031616,291.5105257152,39.7159011736516,7.33989452840603
2017-01-09,5.9748448,290.1354760656,39.6333628081623,7.32048596204025
2017-01-24,5.6067264,272.2598306208,38.5397884354865,7.06438311348149
2017-02-25,5.521776,268.134681672,38.2817578261877,7.00424162572219
2017-02-26,5.2952416,257.1342844752,37.582611052051,6.84184193905728
2017-01-12,5.097024,247.508936928,36.9569859463823,6.6972165232059
2016-03-06,4.8988064,237.8835893808,36.3175821793634,6.55009433739154
2017-02-27,4.8988064,237.8835893808,36.3175821793634,6.55009433739154
2017-02-28,4.6439552,225.5081425344,35.4738181765632,6.3570304558698
2017-01-19,4.6156384,224.1330928848,35.3784815091919,6.33529431800419
2017-06-15,4.4740544,217.2578446368,34.8968125648908,6.22572173985254
2017-06-16,4.4740544,217.2578446368,34.8968125648908,6.22572173985254
2017-06-17,4.4457376,215.8827949872,34.7994587792817,6.20362507234534
2017-06-14,4.4174208,214.5077453376,34.7017571214499,6.18146639050183
2017-03-01,4.389104,213.132695688,34.6037041063742,6.15924512106609
2017-06-18,4.389104,213.132695688,34.6037041063742,6.15924512106609
2017-06-13,4.3607872,211.7576460384,34.5052961913692,6.13696068174506
2018-03-23,4.2192032,204.8823977904,34.0078049152406,6.02456989802896
2017-02-12,4.1625696,202.1322984912,33.8061932573316,5.97914994310586
2018-03-21,4.105936,199.382199192,33.6030395828144,5.93345726063335
2017-03-02,4.0776192,198.0071495424,33.5008741258712,5.91050695568234
2017-06-11,3.9926688,193.8820005936,33.1919717444116,5.84123179202945
2017-06-12,3.9926688,193.8820005936,33.1919717444116,5.84123179202945
2017-06-10,3.9077184,189.7568516448,32.8793664501935,5.77130498947564
