Date,Q cms,SP,w_est,unit_SP
2017-02-17,507.3,44789.517,141.716686002743,316.049706377788
2017-02-18,247.488832,21850.78897728,112.79697281964,193.71786698761
2017-02-19,92.312768,8150.29428672,82.4327912498407,98.8719921180123
2017-01-22,92.0296,8125.293384,82.3522970944778,98.6650484646269
2018-03-22,68.526656,6050.21845824,74.9808044010113,80.6902314075254
2017-01-23,64.279136,5675.20491744,73.4705060974111,77.244668900409
2017-02-20,54.651424,4825.17422496,69.775672856787,69.1526720905087
2018-03-23,36.245504,3200.11554816,61.2335698728623,52.2608032620721
2017-02-21,34.546496,3050.11013184,60.3058211021897,50.5773750542508
2017-01-20,28.3168,2500.090272,56.6104762979213,44.1630319243897
2017-02-22,21.9738368,1940.070051072,52.2243250977401,37.1487816729288
2017-01-24,20.388096,1800.06499584,50.9951111531419,35.298775806847
2017-02-06,16.7635456,1480.053441024,47.9176059312674,30.8874663552052
2017-02-07,16.4520608,1452.552448032,47.6326582489443,30.4948852621341
2017-02-23,15.4892896,1367.549378784,46.7279553934791,29.2661933797095
2017-01-21,13.6203808,1202.543420832,44.8558347526045,26.8090746156981
2017-02-24,13.2522624,1170.042247296,44.4667091882197,26.3127690053118
2016-01-31,13.1106784,1157.541795936,44.3150826908488,26.1207184021578
2017-02-25,12.4877088,1102.539809952,43.6343268369111,25.2677167238739
2017-02-26,11.7231552,1035.037372608,42.7664220288151,24.2021035079955
2017-02-27,11.1285024,982.535476896,42.0642974589353,23.3579433450704
2017-02-08,10.901968,962.53475472,41.7900913869588,23.0326070792076
2018-03-24,10.194048,900.03249792,40.9073177431021,22.0017480386322
2017-02-28,10.0807808,890.032136832,40.7622274735756,21.8347276877587
2017-01-25,9.2312768,815.029428672,39.6369296354659,20.5623754455173
2017-02-11,9.061376,800.02888704,39.4034730001224,20.3035120035616
2017-03-01,8.8914752,785.028345408,39.1670116313708,20.0431003722335
2017-02-09,8.4667232,747.526991328,38.5620618415046,19.3850368893769
2018-01-09,8.2685056,730.026359424,38.2726519216574,19.0743604837819
2017-03-02,8.0986048,715.025817792,38.0207962136108,18.8061768558133
2017-02-12,7.7588032,685.024734528,37.5060637835693,18.264372888634
2017-03-03,7.1641504,632.522838816,36.5669834001034,17.297648862504
2017-02-10,6.8526656,605.021845824,36.0537211344188,16.7811206939861
2018-03-21,6.796032,600.02166528,35.9587001049982,16.6864114533606
2017-03-04,6.5978144,582.521033376,35.6218107296051,16.3529315732361
2018-01-10,6.088112,537.51940848,34.7226001434566,15.4803904736176
2017-03-05,5.8332608,515.018596032,34.2536286349726,15.0354463616205
2017-01-26,5.804944,512.51850576,34.2006639059211,14.985630313196
2017-02-13,5.7483104,507.518325216,34.0942034931868,14.885765708456
2018-03-25,5.7199936,505.018234944,34.0407048748159,14.835716146337
